Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
34,double.>=,12915,1540937.3,21821.055995239312,1540937.3,21821.055995239312,570.7175185185185,8.081872590829375,570.7175185185185,8.081872590829375
43,lambda-43,886617,2569170252.8,14213823.514083257,2388076442.3,13268112.55855027,951544.5380740742,5264.379079290095,884472.7564074075,4914.115762426026
46,int.as,10000,5360109.4,52018.09067946304,5360109.4,52018.09067946304,1985.2257037037039,19.26595951091224,1985.2257037037039,19.26595951091224
48,int.+,896817,184074796.4,2418493.165420905,184074796.4,2418493.165420905,68175.85051851852,895.7382094151501,68175.85051851852,895.7382094151501
49,int.-,116104,20112651.0,138957.94655256474,20112651.0,138957.94655256474,7449.13,51.46590613057953,7449.13,51.46590613057953
50,int.*,2307,7865251.5,99868.50657871645,7865251.5,99868.50657871645,2913.056111111111,36.98833576989498,2913.056111111111,36.98833576989498
53,int.=,2379522,416470270.9,3175215.557147531,416470270.9,3175215.557147531,154248.24848148148,1176.0057619064928,154248.24848148148,1176.0057619064928
54,int.<,2715390,1168801799.6,8795008.364675961,1168801799.6,8795008.364675961,432889.55540740734,3257.4105054355414,432889.55540740734,3257.4105054355414
56,int.>,753623,115254096.8,652792.7527108033,115254096.8,652792.7527108033,42686.70251851852,241.77509359659382,42686.70251851852,241.77509359659382
57,int.>=,117625,463418394.3,3502369.262820711,463418394.3,3502369.262820711,171636.44233333334,1297.1738010447077,171636.44233333334,1297.1738010447077
64,lambda-64,117625,321916421.1,2757589.3293925333,158008219.4,1264527.2242991554,119228.30411111112,1021.3293812564938,58521.562740740745,468.3434164070946
65,list.get,185616,235290787.9,984671.7418293582,235290787.9,984671.7418293582,87144.73625925925,364.6932377145771,87144.73625925925,364.6932377145771
66,list.set,189613,204769725.8,2455013.4145965897,204769725.8,2455013.4145965897,75840.6391851852,909.2642276283666,75840.6391851852,909.2642276283666
67,list.put,582320,78573524.8,1399005.352872254,78573524.8,1399005.352872254,29101.30548148148,518.1501306934274,29101.30548148148,518.1501306934274
68,list.length,204799,30788834.4,209594.85524983614,30788834.4,209594.85524983614,11403.271999999999,77.62772416660597,11403.271999999999,77.62772416660597
87,+,3095654,12794348557.7,77214912.31308836,11770401294.5,71265906.18569615,4738647.613962963,28598.115671514206,4359407.886851852,26394.780068776352
88,-,3291809,13183733856.3,76523099.87734716,9698049367.2,57503808.42218197,4882864.391222222,28341.88884346191,3591870.1360000004,21297.70682303036
89,*,292777,1372982896.2,8818427.913257066,1069696313.7,7129457.6417026585,508512.18377777777,3266.084412317432,396183.8198888889,2640.539867297281
90,/,2159969,11752301115.9,65111978.25918347,11016360466.2,60851785.17344041,4352704.117,24115.547503401285,4080133.506,22537.698212385338
92,=,5863959,11018906886.1,69068016.84798598,9715289544.1,62816993.89341577,4081076.6244814815,25580.74698073555,3598255.386703704,23265.553293857694
93,!=,3454293,6127780852.4,33998900.10830049,4654569422.8,26237703.70152362,2269548.463851852,12592.185225296478,1723914.601037037,9717.668037601341
94,<,5469769,14885612241.4,82784407.9694431,13210334051.8,78879919.92582068,5513189.719037037,30660.89184053448,4892716.315481481,29214.78515771136
95,<=,2535773,8911976397.6,46778781.12043507,7014479512.9,40009727.69988581,3300731.9991111113,17325.474489050026,2597955.375148148,14818.417666624373
96,>,2453757,6982201526.0,40316488.98569874,6655369977.6,38426239.72227631,2586000.565185185,14932.032957666199,2464951.8435555557,14231.940637880114
97,>=,130540,1153586494.6,6463899.547894669,688627163.0,4524432.462955259,427254.25725925923,2394.036869590618,255047.09740740742,1675.7157270204661
101,not,4118912,1051194443.5,6593505.309114855,1051194443.5,6593505.309114855,389331.27537037036,2442.039003375872,389331.27537037036,2442.039003375872
105,empty_vec,44027,8493656338.1,46411396.97011472,2647101553.1,15005811.772322666,3145798.643740741,17189.406285227677,980407.9826296296,5557.708063823209
108,Vector.at,52292,898140978.1,6528328.620178709,255245071.0,2622348.0525930813,332644.8067037037,2417.8994889550772,94535.21148148148,971.240019478919
110,Vector.append,107053,12756689365.6,69062290.07667018,1381679454.1,7392014.6637162315,4724699.765037037,25578.62595432229,511733.1311481481,2737.7832087837896
112,Vector.for_each,800,117994817666.5,607503561.1578978,234459913.3,2481966.253646501,43701784.32092593,225001.31894736955,86837.00492592592,919.2467606098152
121,Vector.size,116104,502038576.9,5830137.133703062,79171022.4,1843274.517294024,185940.21366666665,2159.3100495196527,29322.60088888889,682.6942656644533
127,Vector.init,42121,42024573.9,2613336.791307676,42024573.9,2613336.791307676,15564.657,967.9025152991393,15564.657,967.9025152991393
128,_compare_numbers,2053783,6226213075.1,38572902.110102944,2229951880.5,18672479.582437538,2306004.8426296297,14286.260040778869,825908.1038888888,6915.73317868057
129,_Vector2D.init-values,435074,293610697.5,2427581.888196505,293610697.5,2427581.888196505,108744.70277777778,899.1044030357426,108744.70277777778,899.1044030357426
130,_Vector2D.plus,207536,2169171929.1,12468095.63092563,1522618194.0,8009601.452720334,803397.0107777778,4617.813196639122,563932.6644444445,2966.5190565630865
131,_Vector2D.minus,207536,2193641563.3,11807832.248212388,1414486741.6,7732003.661759254,812459.8382592594,4373.271203041625,523883.97837037034,2863.7050599108347
132,_Vector2D.compare_to,1088615,9898633390.0,58768082.378638394,1982716900.7,12411603.197809076,3666160.514814815,21765.95643653274,734339.5928518518,4596.890073262621
133,_Vector2D.init,435074,280520544.4,2540132.2710707467,280520544.4,2540132.2710707467,103896.49792592591,940.7897300262025,103896.49792592591,940.7897300262025
134,_Vector3D.init-values,110314,97016877.6,1477527.05715399,97016877.6,1477527.05715399,35932.176888888884,547.2322433903666,35932.176888888884,547.2322433903666
135,_Vector3D.plus,12915,408050460.4,3296892.888398297,150014904.4,2458252.393973666,151129.80014814815,1221.0714401475175,55561.075703703704,910.4638496198762
136,_Vector3D.minus,64484,1022100340.8,8583605.847173166,476580467.7,3588015.449952671,378555.68177777773,3179.113276730802,176511.28433333331,1328.8946110935817
137,_Vector3D.dot,32242,1408978163.1,11567588.674392888,76846033.4,539797.027737806,521843.76411111106,4284.292101626996,28461.493851851854,199.9248250880763
138,_Vector3D.squared_magnitude,21528,874699990.0,7769403.745481915,50004470.9,350146.23070006433,323962.9592592593,2877.55694277108,18520.17440740741,129.68378914817197
139,_Vector3D.magnitude,50,3632708.2,154021.27813068725,636756.1,32664.892020735617,1345.4474814814816,57.044917826180466,235.83559259259258,12.098108155828006
140,_Vector3D.times,12915,224673638.7,2407897.122186191,78923675.3,537624.1775187812,83212.45877777778,891.8137489578485,29230.99085185185,199.1200657476967
141,_Vector3D.init,110314,93522683.0,1419738.3721913842,93522683.0,1419738.3721913842,34638.03074074074,525.8290267375497,34638.03074074074,525.8290267375497
142,_tree_minimum,32648,146685913.3,1838267.931635677,51198314.0,311397.81253465445,54328.11603703704,680.8399746798805,18962.338518518518,115.33252316098313
143,_Node.init-values,113104,77521975.1,524624.8326740793,77521975.1,524624.8326740793,28711.842629629627,194.30549358299234,28711.842629629627,194.30549358299234
144,_Node.successor,61120,596412397.3,5133683.387950104,149854009.8,2040802.0600656911,220893.48048148147,1901.3642177592976,55501.48511111111,755.8526148391448
145,_Node.init,113104,203269071.6,2228394.5357198147,203269071.6,2228394.5357198147,75284.84133333333,825.3313095258573,75284.84133333333,825.3313095258573
146,_Entry.init-values,61120,38949525.1,238847.69851185696,38949525.1,238847.69851185696,14425.750037037038,88.46211055994702,14425.750037037038,88.46211055994702
147,_Entry.init,61120,39497401.0,269818.74049033294,39497401.0,269818.74049033294,14628.667037037038,99.93286684827146,14628.667037037038,99.93286684827146
148,_InsertResult.init-values,209547,189697596.7,1944141.9624719578,189697596.7,1944141.9624719578,70258.36914814815,720.0525786933177,70258.36914814815,720.0525786933177
