# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
108,Vector.at,92,=,4,13491.2,1228.7555364762563,4.996740740740741,0.4550946431393542
108,Vector.at,97,>=,4,19941.8,2942.1361305225687,7.385851851851852,1.0896800483416922
110,Vector.append,43,lambda-43,4139,128044401.8,679115.1766625694,47423.85251851852,251.52413950465532
110,Vector.append,65,list.get,150,181770.9,5691.1504516361065,67.32255555555555,2.1078335006059654
110,Vector.append,66,list.set,4139,5422249.0,77146.31933096873,2008.2403703703703,28.572710863321753
110,Vector.append,68,list.length,3281,1033452.5,23229.77549226538,382.7601851851852,8.60362055269088
110,Vector.append,89,*,4,42353.1,5369.144064883497,15.686333333333332,1.9885718758827766
110,Vector.append,92,=,3989,16145080.4,135465.56451865478,5979.659407407407,50.17243130320547
110,Vector.append,94,<,154,1754939.2,45408.38284026883,649.9774814814815,16.817919570469936
110,Vector.append,97,>=,3123,33547642.0,225226.80091246494,12425.052592592592,83.41733367128332
110,Vector.append,105,empty_vec,870,139387521.3,562968.3793540553,51625.0078888889,208.50680716816862
121,Vector.size,88,-,599,3671569.3,66678.06905067284,1359.8404814814814,24.695581129878832
128,Json.benchmark,147,_Parser.init-values,1,1123.5,196.52333462627686,0.4161111111111111,0.07278642023195439
128,Json.benchmark,148,_Parser.parse,1,1810868354.4,4889915.84535428,670691.9831111111,1811.0799427238076
128,Json.benchmark,178,_Parser.init,1,4975.5,431.05201786473884,1.8427777777777778,0.15964889550545883
129,Json.verify_result,92,=,1,9098.5,1158.9881022049499,3.3698148148148146,0.42925485266849994
129,Json.verify_result,101,not,3,722.9,50.97150906969603,0.2677407407407407,0.018878336692480013
129,Json.verify_result,185,_JsonArray.size,1,10577.4,1096.7986141493795,3.9175555555555555,0.40622170894421467
129,Json.verify_result,187,_JsonArray.is_array,1,691.9,107.59470736347386,0.25625925925925924,0.03984989161610143
129,Json.verify_result,188,_JsonArray.as_array,1,351.0,213.74308237498093,0.13,0.07916410458332628
129,Json.verify_result,195,_JsonObject.get,2,204211.6,24220.02911554597,75.63392592592592,8.970381153905915
129,Json.verify_result,198,_JsonObject.is_object,2,1857.7,324.78285863505465,0.688037037037037,0.12028994764261283
129,Json.verify_result,199,_JsonObject.as_object,1,345.9,165.4486404645833,0.1281111111111111,0.06127727424614196
140,_JsonLiteral.init-values,92,=,9,30692.6,10893.05227342543,11.36762962962963,4.034463804972382
148,_Parser.parse,149,_Parser._read_value,1,1810695473.7,4890471.325655165,670627.9532222223,1811.2856761685796
148,_Parser.parse,168,_Parser._skip_white_space,2,41734.7,2655.9142563046166,15.457296296296295,0.9836719467794877
148,_Parser.parse,169,_Parser._read,1,109807.9,7566.521566813421,40.66959259259259,2.8024153951160815
148,_Parser.parse,177,_Parser._is_end_of_text,1,3711.1,531.959030872036,1.3744814814814814,0.19702186328593926
149,_Parser._read_value,92,=,17267,15864060.5,127291.41751343253,5875.577962962963,47.144969449419456
149,_Parser._read_value,151,_Parser._read_array,553,4494849408.1,12471526.547739698,1664759.040037037,4619.0839065702585
149,_Parser._read_value,153,_Parser._read_object,157,3216830019.9,8893241.39410546,1191418.5258888889,3293.793108927948
149,_Parser._read_value,155,_Parser._read_null,590,68454030.3,297847.79924354097,25353.344555555555,110.31399971983
149,_Parser._read_value,156,_Parser._read_true,26,3921647.4,71322.88325222503,1452.462,26.41588268600927
149,_Parser._read_value,157,_Parser._read_false,3,440484.0,21036.01723360749,163.14222222222222,7.7911174939287005
149,_Parser._read_value,159,_Parser._read_string,1351,602683820.8,1655415.8786981746,223216.2299259259,613.116992110435
