# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
146,Dictionary.get_keys,43,lambda-43,16,58973.8,1610.0633397151607,21.842148148148148,0.5963197554500596
146,Dictionary.get_keys,65,list.get,16,27821.2,653.3967602581063,10.304148148148148,0.2419988000955949
146,Dictionary.get_keys,68,list.length,17,2149.6,96.69398283135038,0.7961481481481482,0.035812586233833474
146,Dictionary.get_keys,93,!=,24,96035.3,9870.15401735534,35.56862962962963,3.6556125990204964
146,Dictionary.get_keys,94,<,17,253726.1,18410.03121841888,93.97262962962964,6.818530080895882
146,Dictionary.get_keys,107,Vector.init-values,1,174752.6,10630.35168205692,64.72318518518519,3.937167289650711
146,Dictionary.get_keys,110,Vector.append,8,320227.5,17751.572394401697,118.60277777777777,6.5746564423709986
146,Dictionary.get_keys,127,Vector.init,1,3286.7,313.583213165098,1.2172962962962963,0.11614193080188816
148,Dictionary.init,105,empty_vec,2,716975.7,26541.331765856503,265.5465555555555,9.830122876243149
149,_IdEntry.match,92,=,6032,6073261.0,88850.8522211297,2249.355925925926,32.90772304486285
150,IdentityDictionary._new_entry,128,Entry.init-values,16,26198.0,610.5821208615504,9.702962962962962,0.22614152624501865
150,IdentityDictionary._new_entry,130,Entry.init,16,20008.0,701.1638445057661,7.41037037037037,0.25969031277991333
151,DeltaBlue.inner_benchmark_loop,175,_Planner_chain_test,1,5407786319.8,15243678.595199633,2002883.8221481482,5645.806887110975
151,DeltaBlue.inner_benchmark_loop,176,_Planner_projection_test,1,13567397062.3,55545529.19830637,5024961.874925925,20572.41822159495
154,lambda,233,_EditConstraint.execute,140,68092.4,3762.024740398236,25.219407407407406,1.3933424964437913
154,lambda,235,_EqualityConstraint.execute,100000,195015892.9,819889.3177089558,72228.10848148148,303.66271026257624
154,lambda,239,_ScaleConstraint.execute,20020,2357233876.0,17068765.61734318,873049.5837037037,6321.765043460437
155,_Plan.execute,112,Vector.for_each,140,5687260747.7,23122824.7094788,2106392.8695185184,8564.009151658815
156,_Plan.init,107,Vector.init-values,5,895079.7,34002.27213011695,331.51099999999997,12.593434122265538
157,_Planner.incremental_add,93,!=,6014,9075368.4,89258.0408634368,3361.2475555555557,33.05853365312474
157,_Planner.incremental_add,169,_Planner._new_mark,3009,20295667.5,178873.57528109674,7516.913888888889,66.24947232633212
157,_Planner.incremental_add,198,_AbstractConstraint.satisfy,6014,3899336218.4,11050141.645656908,1444198.5994074075,4092.645053947003
158,_Planner.incremental_remove,112,Vector.for_each,5,338104253.5,2076726.1682161342,125223.79759259259,769.1578400800497
158,_Planner.incremental_remove,173,_Planner._remove_propagate_from,5,1840812783.5,11377500.72260883,681782.5124074074,4213.889156521789
158,_Planner.incremental_remove,224,_UnaryConstraint.remove_from_graph,5,564958036.3,4336617.416740579,209243.71714814813,1606.1545987928068
158,_Planner.incremental_remove,228,_UnaryConstraint.mark_unsatisfied,5,6628.6,428.9851426699753,2.4550370370370374,0.15888338617406492
158,_Planner.incremental_remove,229,_UnaryConstraint.get_output,5,4413.0,506.40757456711424,1.6344444444444444,0.18755836095078304
159,each,110,Vector.append,5,652008.8,18555.459067914566,241.48474074074076,6.872392247375765
159,each,222,_UnaryConstraint.is_satisfied,5,4489.6,612.0669382037436,1.662814814814815,0.2266914585939791
159,each,232,_EditConstraint.is_input,5,3221.7,465.22174678771245,1.1932222222222222,0.17230435066211572
160,_Planner.extract_plan_from_constraints,112,Vector.for_each,5,782371.7,19870.83325961897,289.76729629629625,7.359567873932951
160,_Planner.extract_plan_from_constraints,127,Vector.init,5,6531.3,9392.596866961934,2.419,3.478739580356272
160,_Planner.extract_plan_from_constraints,161,_Planner._make_plan,5,3764255072.2,12680583.95540491,1394168.5452592592,4696.512576075892
161,_Planner._make_plan,93,!=,3007,5338564.7,45768.476553306034,1977.2461851851851,16.95128761233557
161,_Planner._make_plan,101,not,3012,640831.7,20055.777729280766,237.34507407407406,7.428065825659543
161,_Planner._make_plan,110,Vector.append,3007,2157534935.3,9276522.986182153,799087.0130740742,3435.749254141538
161,_Planner._make_plan,111,Vector.is_empty,3012,10251501.5,1261591.3745032502,3796.8524074074076,467.2560646308334
161,_Planner._make_plan,116,Vector.remove_first,3007,230771821.1,2712094.1235012333,85471.04485185185,1004.4793050004567
161,_Planner._make_plan,127,Vector.init,5,6855.1,457.1676992780197,2.538925925925926,0.16932137010297027
161,_Planner._make_plan,156,_Plan.init,5,911953.8,34227.251524264466,337.7606666666667,12.676759823801653
161,_Planner._make_plan,164,_Planner._add_constraints_consuming_to,3007,1291410592.3,4104697.6424515177,478300.2193703704,1520.2583860931547
161,_Planner._make_plan,169,_Planner._new_mark,5,34283.1,1516.6428959000893,12.697444444444445,0.5617195910741072
161,_Planner._make_plan,196,_AbstractConstraint.inputs_known,3007,27692385.0,250196.8324747961,10256.43888888889,92.66549350918375
